date,start,peak,end,class,active_region
2026-06-06,0352,0404,0410,C2.1,4456
2026-06-06,0410,0416,0420,C1.7,4455
2026-06-06,0447,0457,0503,C1.7,4463
2026-06-06,0623,0630,0639,C3.1,4456
2026-06-06,1149,1157,1203,C1.9,4456
2026-06-06,1304,1318,1334,C8.8,4456
2026-06-06,1340,1401,1418,M1.9,4461
2026-06-06,1340,1401,1428,M1.8,14461
2026-06-06,2056,2124,2149,C1.8,4456
2026-06-06,2241,2255,2306,C1.2,4456
2026-06-07,0145,0153,0200,C2.0,4462
2026-06-07,0221,0230,0238,C1.9,4456
2026-06-07,0238,0243,0246,C1.9,4456
2026-06-07,0410,0419,0425,C3.3,4456
2026-06-07,0527,0533,0536,C1.7,4456
2026-06-07,0541,0549,0559,C2.5,4455
2026-06-07,0636,0644,0648,C1.7,
2026-06-07,0755,0801,0808,C1.5,14456
2026-06-07,0816,0826,0830,C2.4,
2026-06-07,0917,0928,0939,C1.6,14456
2026-06-07,1321,1330,1342,C1.4,4464
2026-06-07,1342,1345,1348,C1.5,
2026-06-07,1350,1358,1405,C2.1,
2026-06-07,1541,1558,1609,C1.7,
2026-06-07,1640,1651,1702,C1.7,4459
2026-06-07,1743,1753,1803,C1.3,
2026-06-07,1854,1902,1906,C1.2,4462
2026-06-07,1927,1933,1947,C1.2,14455
2026-06-07,1927,1939,1947,C1.3,4455
2026-06-08,0214,0228,0236,C3.1,14465
2026-06-08,0236,0249,0257,C7.2,14465
2026-06-08,0413,0421,0428,C1.6,
2026-06-08,0500,0510,0514,C4.5,14465
2026-06-08,0631,0638,0643,C1.5,4462
2026-06-08,0821,0829,0832,C1.3,14458
2026-06-08,1233,1241,1248,C1.5,4456
2026-06-08,1729,1733,1738,C1.3,4464
2026-06-09,0032,0040,0045,C1.3,14464
2026-06-09,0054,0103,0106,C1.3,14465
2026-06-09,0153,0204,0212,C1.4,14465
2026-06-09,0232,0236,0241,C1.7,14465
2026-06-09,0416,0423,0428,C4.5,14465
2026-06-09,0522,0528,0532,C1.3,14465
2026-06-09,0551,0558,0601,C1.4,14465
2026-06-09,0601,0606,0609,C2.7,4465
2026-06-09,0601,0606,0609,C2.6,14465
2026-06-09,0628,0652,0657,C3.0,4455
2026-06-09,0628,0700,0702,C3.2,14455
2026-06-09,0657,0700,0702,C3.2,
2026-06-09,0904,0911,0914,C1.5,4465
2026-06-09,0939,0946,0950,C1.3,4465
2026-06-09,1247,1302,1323,C1.2,4464
2026-06-09,1323,1334,1340,C1.3,4465
2026-06-09,1902,1918,1925,C2.3,4461
2026-06-09,1935,1943,1951,C1.6,4462
2026-06-09,2010,2013,2017,C1.4,4465
2026-06-09,2059,2110,2117,C1.9,4462
2026-06-09,2117,2133,2136,C2.0,14464
2026-06-09,2117,2133,2136,C2.1,4464
2026-06-10,0051,0059,0101,C2.6,4465
2026-06-10,0127,0133,0138,C1.1,4465
2026-06-10,0128,0133,0136,C1.0,14465
2026-06-10,0128,0133,0136,C1.1,4465
2026-06-10,0354,0415,0438,C1.1,4466
2026-06-10,1250,1259,1306,B8.7,4455
2026-06-10,1317,1326,1335,C1.5,4456
2026-06-10,1523,1535,1544,C1.0,4456
2026-06-10,1556,1609,1616,C1.2,4465
2026-06-10,2236,2243,2250,B9.2,4464
2026-06-11,2330,0002,0037,C6.7,14465
2026-06-11,2330,0002,0037,C6.7,14465
2026-06-11,0037,0044,0046,C6.1,4456
2026-06-11,0428,0441,0504,C1.0,4465
2026-06-11,0638,0647,0656,C1.2,4456
2026-06-11,0800,0807,0811,C1.5,4465
2026-06-11,0822,0828,0832,C9.0,4465
2026-06-11,1124,1136,1144,C1.3,4456
2026-06-11,1706,1714,1722,C1.1,4465
2026-06-11,2005,2018,2041,C1.1,
